OLD,NEW,NEW (in new domain),Permanent,Notes
https://docs.cow.fi/widget/get-started,https://beta.docs.cow.fi/cow-protocol/tutorials/widget,https://docs.cow.fi/cow-protocol/tutorials/widget,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/bonus-cidv0-and-appdata,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/create-a-meta-data-document,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/download-a-document-given-the-appdata,https://learn.cow.fi/tutorial/view-app-data,https://learn.cow.fi/tutorial/view-app-data,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/get-the-appdata-hex,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/order-meta-data-appdata/upload-document-to-ipfs,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/bonus-show-link-to-explorer,https://learn.cow.fi/tutorial/view-order,https://learn.cow.fi/tutorial/view-order,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/enable-tokens,https://learn.cow.fi/tutorial/approve-sell-token-order,https://learn.cow.fi/tutorial/approve-sell-token-order,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/step-1-get-market-price,https://learn.cow.fi/tutorial/quote-order,https://learn.cow.fi/tutorial/quote-order,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/step-2-sign-the-order,https://learn.cow.fi/tutorial/sign-order,https://learn.cow.fi/tutorial/sign-order,Y,
https://docs.cow.fi/cow-sdk/sign-and-post-orders/step-3-post-the-signed-order-to-the-api,https://learn.cow.fi/tutorial/submit-order,https://learn.cow.fi/tutorial/submit-order,Y,
https://docs.cow.fi/front-end/creating-app-ids/choose-the-appcode-for-the-app,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/front-end/creating-app-ids/create-the-order-meta-data-file,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/front-end/creating-app-ids/get-the-digest-hash-from-the-cid,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/front-end/creating-app-ids/upload-the-file-to-ipfs,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/off-chain-services/api/fee-mechanism,https://beta.docs.cow.fi/cow-protocol/tutorials/arbitrate,https://docs.cow.fi/cow-protocol/tutorials/arbitrate,Y,
https://docs.cow.fi/off-chain-services/api/price-estimation,https://beta.docs.cow.fi/cow-protocol/tutorials/arbitrate,https://docs.cow.fi/cow-protocol/tutorials/arbitrate,Y,
https://docs.cow.fi/overview/cow-hooks/cow-hooks-example,https://beta.docs.cow.fi/cow-protocol/concepts/order-types/cow-hooks,https://docs.cow.fi/cow-protocol/concepts/order-types/cow-hooks,N,
https://docs.cow.fi/overview/cow-hooks/cow-hooks-faq,https://beta.docs.cow.fi/cow-protocol/concepts/order-types/cow-hooks,https://docs.cow.fi/cow-protocol/concepts/order-types/cow-hooks,N,
https://docs.cow.fi/smart-contracts/allow-list-authenticator-1/guarantees,https://beta.docs.cow.fi/cow-protocol/reference/contracts/core/allowlist,https://docs.cow.fi/cow-protocol/reference/contracts/core/allowlist,Y,
https://docs.cow.fi/smart-contracts/eth-flow-contract/high-level-description,https://beta.docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,https://docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,Y,
https://docs.cow.fi/smart-contracts/eth-flow-contract/interactions,https://beta.docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,https://docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,Y,
https://docs.cow.fi/smart-contracts/eth-flow-contract/order-cancellation,https://learn.cow.fi/tutorial/cancel-eth-flow,https://learn.cow.fi/tutorial/cancel-eth-flow,Y,
https://docs.cow.fi/smart-contracts/eth-flow-contract/order-creation,https://learn.cow.fi/tutorial/create-eth-flow,https://learn.cow.fi/tutorial/create-eth-flow,Y,
https://docs.cow.fi/smart-contracts/eth-flow-contract/order-execution,https://beta.docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,https://docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,Y,
https://docs.cow.fi/smart-contracts/eth-flow-contract/orders-in-storage,https://beta.docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,https://docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,Y,
https://docs.cow.fi/smart-contracts/eth-flow-contract/user-and-eth-flow-contract-orders,https://beta.docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,https://docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,Y,
https://docs.cow.fi/smart-contracts/settlement-contract/signature-schemes,https://beta.docs.cow.fi/cow-protocol/reference/core/signing-schemes,https://docs.cow.fi/cow-protocol/reference/core/signing-schemes,Y,
https://docs.cow.fi/smart-contracts/vault-relayer/balancer-external-balances,https://beta.docs.cow.fi/cow-protocol/reference/contracts/core/vault-relayer,https://docs.cow.fi/cow-protocol/reference/contracts/core/vault-relayer,Y,
https://docs.cow.fi/smart-contracts/vault-relayer/balancer-internal-balances,https://beta.docs.cow.fi/cow-protocol/reference/contracts/core/vault-relayer,https://docs.cow.fi/cow-protocol/reference/contracts/core/vault-relayer,Y,
https://docs.cow.fi/smart-contracts/vault-relayer/fallback-erc20-allowances,https://beta.docs.cow.fi/cow-protocol/reference/contracts/core/vault-relayer,https://docs.cow.fi/cow-protocol/reference/contracts/core/vault-relayer,Y,
https://docs.cow.fi/solvers/how-to-build-a-solver/how-to-test-a-solver-locally,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/solvers/how-to-build-a-solver/how-to-write-a-solver,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/solvers/how-to-build-a-solver/solver-workshop,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/solvers/in-depth-solver-specification/getting-notified-about-the-ranking,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/solvers/in-depth-solver-specification/input-batch-auction-instances,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/solvers/in-depth-solver-specification/introduction,https://beta.docs.cow.fi/cow-protocol/reference/core/auctions/the-problem,https://docs.cow.fi/cow-protocol/reference/core/auctions/the-problem,Y,
https://docs.cow.fi/solvers/in-depth-solver-specification/output-batch-auction-solutions,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/solvers/in-depth-solver-specification/sample-test-instances,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/solvers/in-depth-solver-specification/slippage-accounting,https://beta.docs.cow.fi/cow-protocol/reference/core/auctions/slippage,https://docs.cow.fi/cow-protocol/reference/core/auctions/slippage,Y,
https://docs.cow.fi/solvers/in-depth-solver-specification/social-consensus-rules,https://beta.docs.cow.fi/cow-protocol/reference/core/auctions/competition-rules,https://docs.cow.fi/cow-protocol/reference/core/auctions/competition-rules,Y,
https://docs.cow.fi/solvers/in-depth-solver-specification/solver-auction-and-rewards,https://beta.docs.cow.fi/cow-protocol/reference/core/auctions/rewards,https://docs.cow.fi/cow-protocol/reference/core/auctions/rewards,Y,
https://docs.cow.fi/solvers/in-depth-solver-specification/the-batch-auction-optimization-problem,https://beta.docs.cow.fi/cow-protocol/reference/core/auctions/the-problem,https://docs.cow.fi/cow-protocol/reference/core/auctions/the-problem,Y,
https://docs.cow.fi/tutorials/cowswap-trades-with-a-gnosis-safe-wallet/approving-the-tokens-to-sell,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,Y,
https://docs.cow.fi/tutorials/cowswap-trades-with-a-gnosis-safe-wallet/conclusion,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,Y,
https://docs.cow.fi/tutorials/cowswap-trades-with-a-gnosis-safe-wallet/creating-the-order,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,Y,
https://docs.cow.fi/tutorials/cowswap-trades-with-a-gnosis-safe-wallet/running-the-tx-from-the-safe,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,Y,
https://docs.cow.fi/tutorials/how-to-place-erc-1271-smart-contract-orders/additional-use-cases,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,N,New content coming soon (TM)
https://docs.cow.fi/tutorials/how-to-place-erc-1271-smart-contract-orders/current-orders,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,N,New content coming soon (TM)
https://docs.cow.fi/tutorials/how-to-place-erc-1271-smart-contract-orders/good-after-time-gat-orders,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,N,New content coming soon (TM)
https://docs.cow.fi/tutorials/how-to-place-erc-1271-smart-contract-orders/security,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,N,New content coming soon (TM)
https://docs.cow.fi/tutorials/how-to-place-erc-1271-smart-contract-orders/smart-contract-wallet-orders,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,N,New content coming soon (TM)
https://docs.cow.fi/tutorials/how-to-place-erc-1271-smart-contract-orders/smart-orders,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,N,New content coming soon (TM)
https://docs.cow.fi/tutorials/how-to-place-erc-1271-smart-contract-orders/the-basics-of-erc-1271,https://learn.cow.fi/tutorial/create-pre-signed-order,https://learn.cow.fi/tutorial/create-pre-signed-order,N,New content coming soon (TM)
https://docs.cow.fi/tutorials/how-to-submit-orders-via-the-api/1.-set-allowance-for-the-sell-token,https://learn.cow.fi/tutorial/approve-sell-token-order,https://learn.cow.fi/tutorial/approve-sell-token-order,Y,
https://docs.cow.fi/tutorials/how-to-submit-orders-via-the-api/2.-query-the-fee-endpoint,https://learn.cow.fi/tutorial/quote-order,https://learn.cow.fi/tutorial/quote-order,Y,
https://docs.cow.fi/tutorials/how-to-submit-orders-via-the-api/4.-signing-the-order,https://learn.cow.fi/tutorial/sign-order,https://learn.cow.fi/tutorial/sign-order,Y,
https://docs.cow.fi/tutorials/how-to-submit-orders-via-the-api/5.-placing-the-order,https://learn.cow.fi/tutorial/submit-order,https://learn.cow.fi/tutorial/submit-order,Y,
https://docs.cow.fi/tutorials/how-to-submit-orders-via-the-api/6.-checking-order-status,https://learn.cow.fi/tutorial/view-order,https://learn.cow.fi/tutorial/view-order,Y,
https://docs.cow.fi/tutorials/onchain-order-cancellation/submitting-invalidation,https://learn.cow.fi/tutorial/cancel-on-chain-order,https://learn.cow.fi/tutorial/cancel-on-chain-order,Y,
https://docs.cow.fi/tutorials/onchain-order-cancellation/verifying-with-orderbook-api-services,https://beta.docs.cow.fi/cow-protocol/reference/apis/orderbook,https://docs.cow.fi/cow-protocol/reference/apis/orderbook,Y,
https://docs.cow.fi/tutorials/submit-limit-orders-via-api/general-overview,https://learn.cow.fi/tutorial/submit-order,https://learn.cow.fi/tutorial/submit-order,Y,
https://docs.cow.fi/tutorials/submit-limit-orders-via-api/limit-order-structure,https://beta.docs.cow.fi/cow-protocol/reference/core/intents,https://docs.cow.fi/cow-protocol/reference/core/intents,Y,
